iter	Logloss
0	0.4911389603
1	0.331378763
2	0.2345518416
3	0.1703898483
4	0.1178858872
5	0.08534356565
6	0.0599475229
7	0.04180175586
8	0.03133110713
9	0.02381880324
10	0.01843300563
11	0.01484499697
12	0.01172602143
13	0.009000942347
14	0.007163188722
15	0.005673268716
16	0.004723166164
17	0.003874425879
18	0.003187721447
19	0.002669635941
20	0.002274171173
21	0.001967007321
22	0.001707694028
23	0.001485849302
24	0.001317008959
25	0.001186468512
26	0.00106055475
27	0.0009685584952
28	0.0008760206858
29	0.0007953227903
30	0.0007355314998
31	0.000676546297
32	0.0006298433788
33	0.0005909129785
34	0.0005513690985
35	0.000515473535
36	0.0004839311352
37	0.0004550701229
38	0.000429432949
39	0.0004097139624
40	0.0003919284391
41	0.0003755495724
42	0.0003605552433
43	0.0003472873426
44	0.0003343690027
45	0.0003220700512
46	0.0003104384909
47	0.0002994926932
48	0.0002896569025
49	0.0002825169037
50	0.0002756002713
51	0.0002689216375
52	0.0002627270064
53	0.0002570665784
54	0.0002514526625
55	0.000246114779
56	0.0002407930043
57	0.0002359992704
58	0.0002313386795
59	0.0002267331496
60	0.0002242709411
61	0.0002219768097
62	0.0002196292148
63	0.0002174658565
64	0.0002153454263
65	0.0002133340474
66	0.000211185392
67	0.0002092794086
68	0.0002074387117
69	0.000205452984
70	0.0002035918375
71	0.0002017627482
72	0.0001998601432
73	0.0001980482928
74	0.0001962048416
75	0.0001945455115
76	0.0001945390279
77	0.0001927551363
78	0.0001909989569
79	0.0001894031228
80	0.0001877149702
81	0.000186015861
82	0.0001860196311
83	0.0001844332814
84	0.0001828055267
85	0.0001812137317
86	0.0001812137317
87	0.0001812137317
88	0.0001771941425
89	0.0001771908937
90	0.0001771908937
91	0.0001771868333
92	0.0001771868333
93	0.0001771868333
94	0.0001771868333
95	0.0001771868333
96	0.000177183152
97	0.0001771667867
98	0.0001771667867
99	0.0001771667867
100	0.0001771667867
101	0.0001771706244
102	0.0001771706244
103	0.0001771710175
104	0.0001771767093
105	0.0001771620303
106	0.0001771578545
107	0.0001771578545
108	0.0001771621205
109	0.0001771621205
110	0.0001771621205
111	0.0001771547015
112	0.0001771547015
113	0.0001771547015
114	0.0001771530348
115	0.0001771429769
116	0.0001771429769
117	0.0001771429769
118	0.0001771354099
119	0.0001771354099
120	0.0001771354099
121	0.0001771287855
122	0.0001771326204
123	0.0001771326204
124	0.0001771301605
125	0.0001771260452
126	0.0001771260452
127	0.0001771260452
128	0.0001771202633
129	0.0001771202633
130	0.0001771202633
131	0.0001771187375
132	0.0001771108577
133	0.0001771050842
134	0.0001771050842
135	0.0001771154887
136	0.0001771154887
137	0.0001771014705
138	0.0001771050997
139	0.0001771050997
140	0.0001771050997
141	0.0001771050997
142	0.0001771050997
143	0.0001771062367
144	0.0001771034161
145	0.0001771034161
146	0.0001771034161
147	0.0001771034161
148	0.0001771034161
149	0.0001770920833
150	0.0001770920833
151	0.0001770887245
152	0.0001770887245
153	0.0001770887245
154	0.0001770887245
155	0.0001770826946
156	0.0001770802347
157	0.0001770802347
158	0.0001770802347
159	0.0001770862337
160	0.0001770862337
161	0.0001770747853
162	0.0001770676733
163	0.0001770676733
164	0.0001770645739
165	0.0001770583256
166	0.0001770583256
167	0.0001770583256
168	0.0001770583256
169	0.0001770585665
170	0.0001770599105
171	0.0001770466672
172	0.0001770477859
173	0.0001770477859
174	0.0001770477859
175	0.0001770477859
176	0.0001770493892
177	0.0001770493892
178	0.0001770493892
179	0.0001770493892
180	0.0001770493892
181	0.0001770493892
182	0.000177045867
183	0.0001770493821
184	0.0001770436199
185	0.0001770306513
186	0.0001770251244
187	0.0001770251244
188	0.0001770222757
189	0.0001770222757
190	0.0001770247581
191	0.0001770247581
192	0.0001770247581
193	0.0001770189141
194	0.0001770080687
195	0.0001770138436
196	0.0001770138436
197	0.0001770138436
198	0.0001770138436
199	0.0001770138436
200	0.0001770138436
201	0.0001770012667
202	0.0001769974699
203	0.0001769974699
204	0.0001769955608
205	0.0001769955608
206	0.000176992922
207	0.000176992922
208	0.000176995465
209	0.000176995465
210	0.000176990403
211	0.0001769860384
212	0.0001769860384
213	0.0001769771921
214	0.0001769771921
215	0.0001769739363
216	0.0001769710551
217	0.0001769710551
218	0.0001769710551
219	0.0001769710551
220	0.0001769689433
221	0.0001769689433
222	0.0001769689433
223	0.0001769794858
224	0.0001769794858
225	0.0001769794858
226	0.0001769794858
227	0.0001769539685
228	0.0001769539685
